Issue Id,Summary,Description,Priority,Test Type,Step Action,Step Data,Step Expected Result,Components,Labels
300017,"Adaptive follow-up asks one question at a time (AC-040.2) — AMBIGUOUS: ""concise"" and ""contextually relevant"" are unbounded (see testability review)",Validates single-question pacing when clinical details are incomplete.,Medium,Manual,Required clinical details are incomplete and the assistant generates the next turn,,"The assistant asks one concise, contextually relevant question at a time; exact bounds on ""concise""/""relevant"" are unresolved pending the testability review’s suggested rewrite",VAN,ManualTC surface:patient-chat-ui
300018,"Quick-reply controls are offered with free-text fallback (AC-040.3) — AMBIGUOUS: ""where appropriate"" is unbounded (see testability review)",Validates quick-reply rendering alongside free-text access.,Medium,Manual,A structured value is requested and the prompt renders,,The patient can respond using quick-reply controls while retaining access to free text where appropriate; the exact free-text-eligible prompt set is unresolved pending the testability review’s suggested rewrite,VAN,ManualTC surface:patient-chat-ui
300019,Assistant declines to diagnose and redirects to information-gathering framing (AC-040.4),Validates the non-diagnostic guardrail when a patient asks for a diagnosis.,High,Manual,The patient asks the assistant for a diagnosis or treatment recommendation,,The assistant explains it is collecting information for the healthcare provider and does not provide diagnostic or treatment advice,VAN,ManualTC surface:patient-chat-ui
300020,"Typing indicator appears during processing (AC-040.5, part 1 of 2 — COMPOUND, split from duplicate-submission prevention, see testability review)",Validates the typing indicator while a patient message is being processed.,Medium,Manual,A patient message is submitted and the assistant is processing it,,A typing indicator appears,VAN,ManualTC surface:patient-chat-ui
300021,"Duplicate and out-of-order submissions are prevented (AC-040.5, part 2 of 2 — COMPOUND, split from typing indicator, see testability review)",Validates that rapid or out-of-order message submissions are not double-processed.,Medium,Manual,"A patient message is submitted and the assistant is processing it, and the patient submits again before a response arrives",,Duplicate and out-of-order submissions are prevented,VAN,ManualTC surface:patient-chat-ui
300022,Guided clarification on ambiguous input does not repeat the same prompt more than twice (AC-040.ALT.1),Validates the clarification-attempt cap for ambiguous patient input.,Medium,Manual,The patient provides minimal or ambiguous information,,The assistant offers guided clarification without repeating the same prompt more than twice,VAN,ManualTC surface:patient-chat-ui
300023,Off-topic input is redirected and excluded from the clinical payload (AC-040.ALT.2),Validates handling of unrelated patient input.,Medium,Manual,The patient enters unrelated content,,The assistant politely redirects to intake and excludes the content from the clinical payload,VAN,ManualTC surface:patient-chat-ui
300024,"Every patient message is evaluated by the deterministic red-flag engine (AC-041.1) — AMBIGUOUS: ""before or in parallel with LLM processing"" is an internal ordering claim, not black-box observable; rewritten here to the observable guarantee (see testability review)",Validates that 100% of red-flag test messages trigger escalation regardless of internal processing order.,High,Manual,Any patient message is submitted during an active chat session,,"A deterministic red-flag engine evaluates the message, and every red-flag test message results in escalation being triggered",VAN,ManualTC surface:patient-chat-ui
300025,Confirmed red-flag match dispatches an immediate escalation event to the clinician/staff dashboard (AC-041.2) — MISSING DATA: exact latency bound unstated; also an OPEN QUESTION in the master PRD (NFR-002),Validates that escalation dispatch reaches the staff dashboard after a confirmed match.,High,Manual,A patient message matches a validated red-flag criterion,,"An emergency escalation event is sent to the clinician or staff dashboard; exact maximum latency is unresolved (NFR-002, OPEN QUESTION)",VAN,ManualTC surface:patient-chat-ui
300026,Emergency takeover displays a high-contrast directive message (AC-041.3),Validates the emergency takeover UI state.,High,Manual,A red flag is detected and the user interface updates,,A high-contrast message directs the patient to notify clinic staff or contact emergency services immediately,VAN,ManualTC surface:patient-chat-ui
300027,Chat is locked during an active emergency takeover (AC-041.4),Validates that input is disabled during emergency takeover.,High,Manual,An emergency takeover is active and the patient views the interface,,Free-text input and interactive controls are disabled,VAN,ManualTC surface:patient-chat-ui
300028,Emergency message contains no diagnostic claim or speculation (AC-041.5),Validates the content of the emergency takeover message itself.,High,Manual,An emergency message is displayed and the patient reads it,,The content contains no diagnostic claim or speculation,VAN,ManualTC surface:patient-chat-ui
300029,Completion card confirms secure submission with next-step instructions (AC-042.1),Validates the completion card content and trigger.,Medium,Manual,Required history confirmations and symptom slots are complete and the intake concludes,,The assistant displays a completion card confirming secure submission and providing next-step instructions,VAN,ManualTC surface:patient-chat-ui
300030,Session inputs are disabled once intake completes (AC-042.2),Validates that the interface locks on entering INTAKE_COMPLETE.,Medium,Manual,The session enters INTAKE_COMPLETE and the completion card appears,,"Input fields, attachments, and quick replies are disabled",VAN,ManualTC surface:patient-chat-ui
300031,Internal triage levels and clinical notes are never exposed to the patient (AC-042.3),Validates that clinical artifacts stay hidden from the patient’s own transcript view.,Medium,Manual,The patient reviews the completed conversation and messages are displayed,,Internal triage levels and generated clinical notes are not exposed,VAN,ManualTC surface:patient-chat-ui
300032,Structured note generation and EHR staging run asynchronously after completion (AC-042.4),Validates that the completion event does not block on downstream processing.,Medium,Manual,The session completes and the completion event is recorded,,"Structured note generation and EHR staging run asynchronously, without blocking the patient-visible completion state",VAN,ManualTC surface:patient-chat-ui
300033,Background processing failure flags the transcript for staff review without altering the completion message (AC-042.EX.1),Validates the fallback behavior when async processing fails or is delayed.,Medium,Manual,Background processing fails or is delayed after the patient views the completion state,,The completion message remains unchanged and the transcript is flagged for staff review,VAN,ManualTC surface:patient-chat-ui
300034,Completion purges all local session data (AC-043.1) — MISSING DATA: completion timeout duration unstated; matches EPIC-011 Dependency #5 (see testability review),Validates the data purge triggered by completion or the finish action.,Medium,Manual,The tablet is in INTAKE_COMPLETE and the configured completion timeout expires or the patient selects the finish action,,"Chat history, local storage, session data, DOM nodes, and cookies are purged; exact timeout duration is unresolved pending Dependency #5",VAN,ManualTC surface:patient-chat-ui
300035,Tablet reloads to a clean welcome state after purge (AC-043.2),Validates the post-purge restart state.,Medium,Manual,The purge completes and the tablet reloads,,The tablet displays the initial welcome state with no previous patient information,VAN,ManualTC surface:patient-chat-ui
300036,Idle sessions show a countdown warning before privacy reset (AC-043.3) — MISSING DATA: idle threshold duration unstated; matches EPIC-011 Dependency #5 (see testability review),Validates the idle-warning state ahead of an abandonment purge.,Medium,Manual,An intake session has no activity for the configured idle threshold,,A countdown warning explains that the session will reset for privacy; exact idle threshold is unresolved pending Dependency #5,VAN,ManualTC surface:patient-chat-ui
300037,"Abandonment purge clears local data; server-side drafts retained only via an approved staff process (AC-043.4) — AMBIGUOUS: ""approved staff-accessible processes"" names no actual mechanism or role (see testability review)",Validates the data-handling outcome when an idle session times out.,Medium,Manual,The idle countdown expires and the session resets,,Local conversational data is cleared and any server-side draft is retained only through an approved staff-accessible process; the exact mechanism/role is unresolved pending the testability review’s suggested rewrite,VAN,ManualTC surface:patient-chat-ui
